*N2-endon,*N2H,NNH2*,N*,NH*,NH2*,NH3*,Distal
-0.554705708,0.26275598,-0.294689131,0.201185548,-1.082902478,-1.572909949,-1.669615379,0.817461689
-0.69228676,0.088332389,-0.53216446,0.039646835,-1.436105964,-1.730337882,-1.991164996,0.780619149
-2.174154252,-0.247243291,-0.915297439,0.248823709,-1.791876174,-2.249599206,-2.609728249,1.926910961
-0.474037473,0.332199891,-0.086039745,0.152716246,-0.769913009,-1.192213542,-1.188331617,0.806237363
-1.034787627,-0.598123293,-1.227891121,-0.733688619,-2.053133448,-2.308772191,-2.72194849,0.494202502
-0.701381232,-0.003710065,-0.632952581,-0.676469026,-1.458664727,-1.663697407,-1.59107159,0.697671167
0.75668029,1.10317242,0.535544185,0.629313321,-0.154878954,-0.308609901,-0.221562332,0.75668029
0.145526535,0.767100112,0.692843491,0.545372955,0.284897003,-0.752792883,-0.279542525,0.621573577
-0.326484765,0.639866398,0.51508866,0.644920307,0.375969999,-0.76376812,-1.094540256,0.966351163
-0.660713388,0.062792429,-0.401279282,-0.674148774,-1.040853974,-1.33854047,-1.15092968,0.723505817
-1.016032747,-0.36642438,-0.860265655,-1.092791693,-1.484945475,-1.566543644,-1.01146997,0.649608367
-0.086817612,0.557058962,0.660509782,1.160335222,0.49380217,-0.533897897,-1.135934746,0.643876575
-0.69659635,-0.146437968,-0.431909282,-0.405779724,-0.929181036,-1.190385287,-1.230007122,0.550158381
-0.695935577,0.344382546,0.545526786,1.848606165,0.937126336,-0.366638284,-1.206061493,1.30307938
-0.574798216,0.338437178,0.205900274,0.185466356,-0.108620996,-0.812300744,-0.997992408,0.913235394
-0.612407478,0.152992712,0.389552626,0.768305945,0.257754503,-0.792877998,-1.06929449,0.76540019
-0.525092865,1.225954597,1.291736789,3.355715981,1.885135782,0.046061163,-1.034715789,2.063979192
-0.328273464,0.758069353,1.059865782,1.847910981,1.20115143,-0.00067253,-0.865976697,1.086342817
-0.388690033,1.344684274,1.012573858,2.372091142,1.624983282,0.057906664,-0.926022839,1.733374307
-0.168422675,1.484159425,1.40918044,3.036060135,1.331340682,-0.406133463,-1.156052556,1.6525821
-0.071142643,1.833666616,1.819154087,3.63319639,2.381016925,0.733893773,-0.627475452,1.904809259
0.376092417,1.710264774,1.706402688,3.342247263,1.829007436,-0.12307516,-0.591729481,1.635844575
-0.074035635,1.10027871,0.378347091,-0.346633743,-0.985479653,-1.163466856,-1.516264664,1.174314345
-0.016321238,1.435303654,0.711894517,0.70059213,-0.073033386,-1.022204846,-1.306612765,1.451624892
0.005277929,1.300914558,0.401839952,0.666071987,-0.702623192,-1.327243677,-1.405217652,1.295636629
-0.051119202,0.8270142,0.013552954,-0.422409285,-0.653811374,-1.26588642,-0.885540825,0.878133403
-0.325336922,0.320493656,-0.317593786,-0.323089792,-1.187571961,-2.048541915,-1.446195939,0.645830579
-0.198090235,0.542373513,-0.166809291,0.348919186,-1.001223091,-1.798166371,-1.12932689,0.740463748
-0.569235285,-0.277732951,-1.144488524,-0.697666459,-2.018800691,-2.004610068,-1.378617814,0.625992254
-0.153816186,0.690594349,0.351837119,0.430539737,-0.200499559,-0.725422836,-0.773961455,0.844410535
0.140537121,1.58258399,1.372782517,1.135972349,0.899047866,0.031499963,-0.946549637,1.442046869
-0.453681733,-0.099862209,-0.793532441,-0.573063934,-1.537823167,-1.743829287,-1.154619265,0.589210022
-0.078858715,0.632508916,-0.613193098,-1.271864624,-1.310499681,-1.129865419,-0.827733243,0.71136763
0.009673124,1.359052749,0.856055944,1.290163606,0.67643635,-0.441304613,-0.902492154,1.349379625
-0.001119166,1.238491087,0.34435789,-0.408966381,-0.283902839,-0.511435703,-0.777717971,1.239610253
-0.070559124,1.272611455,1.026319414,-0.12761783,0.975176599,-0.224339766,-0.896978914,1.343170579
0.115920437,0.876360644,0.665837993,0.386461743,0.264338388,-0.245887018,-0.601722211,1.343170579
0.104934484,0.653546276,0.809905453,0.82994231,0.645831385,-0.437384493,-0.691666674,0.548611793
0.005601979,1.551603296,1.479579572,0.224412794,1.925833716,0.379220367,-0.864496766,1.701420921
0.215935716,1.094859013,1.371650426,1.795208977,1.21846692,0.050178406,-0.595320159,0.878923297
0.110852829,1.773889405,1.605040015,3.01042057,1.857668732,0.653042497,-0.523036723,1.663036577
0.042746103,1.679114638,1.715685086,3.75694836,2.0782545,0.02310191,-0.970673371,2.041263274
0.33709839,2.146019571,2.254365953,4.044517579,2.924303419,1.046793555,-0.524815689,1.808921181
0.360343,2.25241965,2.17662143,4.293850833,2.704586915,0.685428857,-0.654013727,2.117229403
