N2*,NNH*,NHNH*,NHNH2*,NH2NH2*,NH2*,NH3*,Enzymatic
-0.280381706,-0.133843299,-0.701722514,-0.699154309,-0.004860532,-1.572909949,-1.669615379,0.694293778
-0.758998705,-0.405501003,-1.187268179,-1.017785338,-0.215959723,-1.730337882,-1.991164996,0.801825614
-0.983314171,-0.710840715,-1.816234277,-1.717912119,-0.887857085,-2.249599206,-2.609728249,0.830055033
-0.08723331,0.164810214,-0.133403105,-0.349433816,0.307872228,-1.192213542,-1.188331617,0.657306044
-0.8971,-1.0431,-1.6162,-1.7538,-0.8916,-2.3088,-2.7219,0.86220816
-0.457580651,-0.441627831,-0.809095174,-0.776426759,0.099202138,-1.663697407,-1.59107159,0.875628897
0.683617448,0.842205691,0.460384309,0.541073278,1.308239538,-0.308609901,-0.221562332,0.767166259
0.737788946,1.106707171,0.886486558,0.308565959,1.031360716,-0.752792883,-0.279542525,0.737788946
0.673916144,0.768595966,0.516214496,0.703217035,1.070550401,-0.76376812,-1.094540256,0.673916144
-0.498595669,-0.110760453,-0.413960026,-0.35952712,0.130094314,-1.33854047,-1.15092968,0.489621434
-0.592795471,-0.029571016,-0.408252285,-0.673419343,0.120755205,-1.566543644,-1.01146997,0.794174548
0.256531081,0.597567642,0.781387533,0.659487285,1.084527251,-0.533897897,-1.135934746,0.425039965
-0.113956051,0.480465644,0.231441611,-0.264230687,0.429994781,-1.190385287,-1.230007122,0.694225468
-0.099841182,0.874280599,0.76281233,0.306555354,0.754226637,-0.366638284,-1.206061493,0.97412178
-0.045693922,0.869078932,0.741609547,0.172059435,0.665348783,-0.812300744,-0.997992408,0.914772854
0.007799274,0.778167212,0.710723324,0.107133367,1.010460091,-0.792877998,-1.06929449,0.903326724
0.026599376,1.700548799,1.086134621,1.350035161,1.298175095,0.046061163,-1.034715789,1.673949423
0.207993578,1.059082779,1.129897306,0.49573417,1.10279921,-0.00067253,-0.865976697,0.851089202
0.164614278,1.81166627,1.117059338,1.330568158,0.738902904,0.057906664,-0.926022839,1.647051992
0.36072274,1.521328369,1.456633826,1.115736114,0.814420068,-0.406133463,-1.156052556,1.160605629
0.274059649,2.122509138,1.5845729,1.886201443,1.481109858,0.733893773,-0.627475452,1.848449489
0.342807523,2.048987412,1.450032443,1.372550295,0.937005163,-0.12307516,-0.591729481,1.706179889
0.437594283,0.777396492,0.69414631,-0.227315747,-0.008007747,-1.163466856,-1.516264664,0.437594283
0.447544869,1.036860809,1.189896003,0.054325915,0.145815997,-1.022204846,-1.306612765,0.589315939
0.465362606,0.816370253,1.000239445,-0.26250732,0.038354593,-1.327243677,-1.405217652,0.465362606
0.189139325,0.481249271,0.438622842,-0.147214403,0.508806927,-1.26588642,-0.885540825,0.65602133
-0.07597752,0.018594063,-0.278314146,-0.852984943,0.130444231,-2.048541915,-1.446195939,0.983429174
0.039407362,0.281287685,0.025788124,-0.750380685,0.203753351,-1.798166371,-1.12932689,0.954134036
-0.47722513,-0.056998386,-0.754051288,-0.759681564,0.317419251,-2.004610068,-1.378617814,1.077100815
0.690718162,1.225163212,0.931094956,0.643855578,0.637664554,-0.725422836,-0.773961455,0.690718162
1.14030897,1.59685631,1.658479866,0.927117169,0.948102163,0.031499963,-0.946549637,1.14030897
-0.376317178,0.144856988,-0.397726928,-0.474346006,0.193235087,-1.743829287,-1.154619265,0.667581093
0.088770797,0.238707793,-0.176920926,-0.04407414,0.35107612,-1.129865419,-0.827733243,0.395150261
0.100155881,0.862079599,1.008370428,0.759130041,0.95380638,-0.441304613,-0.902492154,0.761923719
0.303110131,0.702037265,0.540082609,0.298052529,0.845316194,-0.511435703,-0.777717971,0.547263664
0.246056519,1.199312165,1.218906083,0.792166716,0.862848729,-0.224339766,-0.896978914,0.953255646
0.445966352,1.128899747,1.220261144,0.802872019,0.838256488,-0.245887018,-0.601722211,0.682933395
0.360250966,1.164612063,1.262852316,0.672453271,1.119636734,-0.437384493,-0.691666674,0.804361098
0.418483858,1.839606817,1.587397661,1.349326811,1.075887037,0.379220367,-0.864496766,1.421122959
0.565500411,1.378831595,1.631007299,0.93853995,1.190656308,0.050178406,-0.595320159,0.813331184
0.593819135,2.2189212,1.707899109,1.576727546,1.2235276,0.653042497,-0.523036723,1.625102065
0.505092483,1.905387667,1.749161922,1.412524012,1.217608881,0.02310191,-0.970673371,1.400295184
0.845929225,2.476232439,2.039990917,2.0399224,1.507343651,1.046793555,-0.524815689,1.630303214
0.376186542,2.397433069,2.12504634,2.048644487,1.111495343,0.685428857,-0.654013727,2.021246527
