Q(*),Q(*N),Q(*NH),Q(*NH2),electronegativity,n_d,d-band(pure),data_type
0.73,0.97,0.91,1.04,1.54,2,-1.8719,0
0.71,0.99,1.09,1.05,1.33,2,-2.3744,0
0.8,0.99,1.19,1.21,1.3,2,-3.6449,0
0.81,0.93,1.02,1.02,1.63,3,-1.7767,0
0.58,0.93,1.03,0.97,1.5,3,-3.0327,0
0.46,0.72,0.76,0.73,1.6,4,-3.1109,0
0.67,0.82,0.85,0.75,2.36,4,-3.6078,0
0.79,0.71,0.75,0.96,1.66,5,-1.6244,0
0.87,0.76,0.85,1.09,1.55,5,-2.4833,0
0.37,0.57,0.56,0.51,2.16,5,-2.6206,0
0.35,0.78,0.85,0.72,1.9,5,-2.6704,0
0.7,0.81,0.78,0.9,1.83,6,-2.0151,0
0.33,0.81,0.83,0.68,2.2,6,-2.6741,0
0.62,0.9,0.84,0.72,1.88,7,-1.8419,0
0.25,0.63,0.6,0.48,2.2,7,-2.441,0
0.32,0.9,0.83,0.65,2.2,7,-2.7139,0
0.6,0.91,0.86,0.78,1.91,8,-1.3462,0
0.26,0.7,0.6,0.5,2.28,8,-2.3254,0
0.36,0.78,0.71,0.58,2.28,9,-2.5304,0
0.82,0.92,0.71,0.89,1.9,10,-3.5492,0
0.31,0.57,0.49,0.44,2.2,10,-1.7955,0
0.36,0.59,0.56,0.54,1.93,10,-3.9624,0
0.77,0.89,0.83,0.86,1.54,2,-1.6968,1
0.7,0.89,0.84,0.92,1.33,2,-1.9515,1
0.86,1.03,1,1.12,1.3,2,-2.0704,1
0.82,0.92,0.9,0.86,1.63,3,-1.8304,1
0.65,0.91,0.98,0.95,1.5,3,-2.8926,1
0.45,0.63,0.62,0.64,1.6,4,-2.5133,1
0.62,0.87,0.93,0.89,2.36,4,-3.113,1
0.76,0.64,0.58,0.63,1.66,5,-1.295,1
0.84,0.75,0.8,0.88,1.55,5,-2.055,1
0.41,0.61,0.6,0.58,2.16,5,-3.1423,1
0.58,0.9,0.99,0.82,1.9,5,-2.2423,1
0.69,0.8,0.83,0.86,1.83,6,-2.1915,1
0.42,0.92,0.85,0.71,2.2,6,-2.2574,1
0.58,0.77,0.74,0.73,1.88,7,-1.6883,1
0.41,0.69,0.6,0.53,2.2,7,-2.1535,1
0.3,0.9,0.73,0.57,2.2,7,-2.0408,1
0.5,0.85,0.66,0.64,1.91,8,-1.1356,1
0.28,0.69,0.54,0.42,2.28,8,-1.6818,1
0.28,0.94,0.76,0.51,2.28,9,-2.0334,1
0.63,0.84,0.74,0.63,1.9,10,-2.7777,1
0.24,0.63,0.43,0.38,2.2,10,-2.0414,1
0.62,0.77,0.68,0.65,1.93,10,-4.4831,1
