,quality,subgroup,size_sg,size_dataset,mean_sg,mean_dataset,std_sg,std_dataset,median_sg,median_dataset,max_sg,max_dataset,min_sg,min_dataset,mean_lift,median_lift
0,2.1420454545454546,Q(*)>=0.77,9.0,44.0,0.9877777777777779,0.7497727272727274,0.12154357040243982,0.20507746470279375,0.96,0.725,1.21,1.21,0.86,0.38,1.3174362601461722,1.3241379310344827
1,2.121818181818182,electronegativity<1.55,8.0,44.0,1.0150000000000001,0.7497727272727274,0.10618380290797652,0.20507746470279375,1.005,0.725,1.21,1.21,0.86,0.38,1.3537435586541375,1.386206896551724
2,1.7013636363636364,n_d<3,6.0,44.0,1.0333333333333334,0.7497727272727274,0.11685698761972069,0.20507746470279375,1.045,0.725,1.21,1.21,0.86,0.38,1.3781954127513387,1.4413793103448276
3,1.7013636363636364,electronegativity<1.55 AND n_d<3,6.0,44.0,1.0333333333333334,0.7497727272727274,0.11685698761972069,0.20507746470279375,1.045,0.725,1.21,1.21,0.86,0.38,1.3781954127513387,1.4413793103448276
4,1.0611363636363635,Q(*)>=0.77 AND electronegativity: [1.55:1.83[,5.0,44.0,0.9620000000000001,0.7497727272727274,0.08588364221433559,0.20507746470279375,0.96,0.725,1.09,1.21,0.86,0.38,1.283055471354956,1.3241379310344827
5,0.982045454545453,Q(*): [0.63:0.77[,9.0,44.0,0.8588888888888888,0.7497727272727274,0.14895520910994572,0.20507746470279375,0.9,0.725,1.05,1.21,0.63,0.38,1.145532316190091,1.2413793103448276
6,0.9609090909090905,Q(*): [0.63:0.77[ AND electronegativity<1.55,4.0,44.0,0.99,0.7497727272727274,0.05612486080160913,0.20507746470279375,0.995,0.725,1.05,1.21,0.92,0.38,1.3204001212488632,1.3724137931034484
7,0.9406818181818176,Q(*)>=0.77 AND n_d<3,3.0,44.0,1.0633333333333332,0.7497727272727274,0.1483988619303471,0.20507746470279375,1.12,0.725,1.21,1.21,0.86,0.38,1.4182075376376677,1.5448275862068968
8,0.9406818181818176,Q(*)>=0.77 AND electronegativity<1.55,3.0,44.0,1.0633333333333332,0.7497727272727274,0.1483988619303471,0.20507746470279375,1.12,0.725,1.21,1.21,0.86,0.38,1.4182075376376677,1.5448275862068968
9,0.9406818181818176,Q(*)>=0.77 AND electronegativity<1.55 AND n_d<3,3.0,44.0,1.0633333333333332,0.7497727272727274,0.1483988619303471,0.20507746470279375,1.12,0.725,1.21,1.21,0.86,0.38,1.4182075376376677,1.5448275862068968
10,0.8118181818181807,n_d: [3:5[,8.0,44.0,0.85125,0.7497727272727274,0.12424144839786759,0.20507746470279375,0.875,0.725,1.02,1.21,0.64,0.38,1.1353440436495905,1.206896551724138
11,0.8118181818181807,electronegativity: [1.55:1.83[,8.0,44.0,0.85125,0.7497727272727274,0.16065782738478696,0.20507746470279375,0.87,0.725,1.09,1.21,0.63,0.38,1.1353440436495905,1.2
12,0.7606818181818175,Q(*): [0.63:0.77[ AND n_d<3,3.0,44.0,1.0033333333333332,0.7497727272727274,0.0590668171555645,0.20507746470279375,1.04,0.725,1.05,1.21,0.92,0.38,1.3381832878650093,1.4344827586206899
13,0.7606818181818175,Q(*): [0.63:0.77[ AND electronegativity<1.55 AND n_d<3,3.0,44.0,1.0033333333333332,0.7497727272727274,0.0590668171555645,0.20507746470279375,1.04,0.725,1.05,1.21,0.92,0.38,1.3381832878650093,1.4344827586206899
14,0.7104545454545452,Q(*)>=0.77 AND d-band(pure): [-2.48:-2.06[,2.0,44.0,1.105,0.7497727272727274,0.015000000000000013,0.20507746470279375,1.105,0.725,1.12,1.21,1.09,0.38,1.473779933313125,1.5241379310344827
